"(136.66666666666666, 28.723404255319153, 73.72549019607844)"
"(206.66666666666657, 6.521739130434781, 54.11764705882353)"
"(120.0, 8.713692946058083, 94.50980392156862)"
"(46.071428571428555, 44.97991967871486, 97.6470588235294)"
"(44.745762711864415, 70.8, 98.0392156862745)"
"(188.57142857142878, 5.000000000000003, 54.90196078431373)"
"(4.137931034482733, 11.885245901639347, 95.68627450980392)"
"(44.44444444444446, 23.27586206896552, 90.98039215686275)"
"(0.0, 0.4545454545454658, 86.27450980392157)"
"(24.54545454545456, 52.17391304347826, 99.2156862745098)"
"(43.23529411764707, 28.936170212765955, 92.15686274509804)"
"(127.49999999999997, 6.926406926406926, 90.58823529411765)"
"(75.88235294117646, 29.565217391304355, 90.19607843137256)"
"(120.0, 10.454545454545455, 86.27450980392157)"
"(117.27272727272728, 10.280373831775703, 83.92156862745098)"
"(300.0, 0.6211180124223581, 63.13725490196078)"
"(44.69387755102042, 40.49586776859504, 94.90196078431372)"
"(44.39999999999998, 21.929824561403517, 89.41176470588236)"
"(220.9090909090909, 71.29629629629629, 84.70588235294117)"
"(60.0, 25.221238938053098, 88.62745098039215)"
"(114.37499999999997, 13.675213675213676, 91.76470588235294)"
"(122.5531914893617, 21.363636363636367, 86.27450980392157)"
"(108.2608695652174, 43.39622641509434, 83.13725490196079)"
"(122.3076923076923, 10.569105691056906, 96.47058823529412)"
"(24.790419161676652, 68.44262295081968, 95.68627450980392)"
"(4.285714285714278, 5.714285714285717, 96.07843137254902)"
"(5.714285714285666, 8.536585365853663, 96.47058823529412)"
"(6.067415730337075, 36.92946058091286, 94.50980392156862)"
"(26.086956521739125, 9.019607843137257, 100.0)"
"(216.48000000000002, 51.02040816326531, 96.07843137254902)"
"(222.85714285714292, 4.605263157894739, 59.6078431372549)"
"(45.00000000000006, 3.827751196172249, 81.96078431372548)"
"(51.21951219512192, 40.0, 80.3921568627451)"
"(4.580152671755741, 54.81171548117154, 93.72549019607843)"
"(134.9999999999999, 2.4242424242424327, 64.70588235294117)"
"(44.556962025316466, 94.42231075697211, 98.4313725490196)"
"(0.0, 17.741935483870964, 72.94117647058823)"
"(44.117647058823536, 13.821138211382111, 96.47058823529412)"
"(130.58823529411765, 14.529914529914528, 91.76470588235294)"
"(120.0, 3.5175879396984944, 78.03921568627452)"
"(46.15384615384613, 41.6, 98.0392156862745)"
"(0.0, 30.270270270270274, 72.54901960784314)"
"(123.9344262295082, 27.47747747747748, 87.05882352941177)"
"(51.176470588235304, 15.596330275229356, 85.49019607843137)"
"(44.3478260869565, 53.990610328638496, 83.52941176470588)"
"(122.60869565217394, 29.870129870129876, 90.58823529411765)"
"(5.121951219512198, 33.88429752066116, 94.90196078431372)"
"(120.0, 2.3622047244094517, 99.6078431372549)"
"(25.26315789473682, 39.41908713692946, 94.50980392156862)"
"(180.0, 2.9239766081871243, 67.05882352941175)"
"(63.396226415094326, 26.368159203980092, 78.82352941176471)"
"(50.66666666666663, 40.35874439461883, 87.45098039215686)"
"(45.688073394495405, 48.01762114537445, 89.01960784313725)"
"(5.060240963855449, 70.63829787234042, 92.15686274509804)"
"(44.117647058823536, 30.769230769230777, 86.66666666666667)"
"(50.86956521739131, 22.009569377990434, 81.96078431372548)"
"(45.23809523809524, 52.06611570247933, 94.90196078431372)"
"(27.272727272727252, 12.941176470588234, 100.0)"
"(41.25, 19.27710843373494, 97.6470588235294)"
"(136.79999999999998, 28.73563218390805, 68.23529411764706)"
"(131.99999999999997, 4.1322314049586755, 94.90196078431372)"
"(139.28571428571433, 14.659685863874353, 74.90196078431373)"
"(217.5, 9.795918367346939, 96.07843137254902)"
"(63.59999999999999, 27.322404371584696, 71.76470588235294)"
"(217.55395683453239, 56.50406504065041, 96.47058823529412)"
"(46.730769230769226, 41.269841269841265, 98.82352941176471)"
"(60.0, 14.070351758793977, 78.03921568627452)"
"(48.0, 22.831050228310502, 85.88235294117646)"
"(5.581395348837191, 56.95364238410596, 59.21568627450981)"
"(32.30769230769232, 20.392156862745104, 100.0)"
"(6.279069767441854, 35.53719008264462, 94.90196078431372)"
"(44.796380090497735, 88.04780876494024, 98.4313725490196)"
"(214.0, 24.09638554216867, 97.6470588235294)"
"(210.0, 1.1235955056179736, 69.80392156862744)"
"(217.5, 39.34426229508197, 95.68627450980392)"
"(200.0, 1.9736842105263088, 59.6078431372549)"
"(217.1900826446281, 48.987854251012145, 96.86274509803921)"
"(43.84615384615387, 22.608695652173918, 90.19607843137256)"
"(66.88524590163934, 27.354260089686104, 87.45098039215686)"
"(4.5283018867924625, 21.81069958847736, 95.29411764705881)"
"(121.9047619047619, 27.7533039647577, 89.01960784313725)"
"(120.0, 8.606557377049185, 95.68627450980392)"
"(41.53846153846155, 22.03389830508475, 92.54901960784314)"
"(135.42857142857142, 14.583333333333329, 94.11764705882352)"
"(4.736842105263179, 15.322580645161294, 97.25490196078431)"
"(220.52631578947367, 50.22026431718062, 89.01960784313725)"
"(51.53846153846155, 39.795918367346935, 76.86274509803923)"
"(355.2631578947368, 16.888888888888893, 88.23529411764706)"
"(3.1578947368420813, 7.63052208835341, 97.6470588235294)"
"(127.20000000000003, 13.297872340425542, 73.72549019607844)"
"(25.217391304347814, 29.237288135593225, 92.54901960784314)"
"(205.71428571428567, 5.426356589147279, 50.588235294117645)"
"(43.23529411764707, 29.184549356223172, 91.37254901960785)"
"(135.38461538461536, 18.84057971014493, 81.17647058823529)"
"(217.5, 59.01639344262295, 95.68627450980392)"
"(217.6551724137931, 58.943089430894304, 96.47058823529412)"
